[T0] --- GAME START: RED ---
[T0] Handoff Spot: (1, 3)
[T0] Plating Spot: (1, 3)
[T0] MODE: FLUID (Open Map)
[T1] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T1] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T2] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T2] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T3] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T3] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T4] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T4] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T5] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T5] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T6] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T6] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T7] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T7] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T8] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T8] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T9] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T9] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T10] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T10] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T11] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T11] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T12] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T12] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T13] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T13] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T14] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T14] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T15] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T15] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T16] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
[T16] Bot 1 @ (8,1) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T17] Bot 0 @ (6,1) -> [BUY_PLATE P:1900]
