[Turn 0] Initialized game with Red: bots/eric/IronChefOptimized.py, Blue: bots/eric/IronChefOptimized.py
[Turn 0] Bot 0 (RED): Pos=(1,36) Holding=None
[Turn 0] Bot 1 (RED): Pos=(38,36) Holding=None
[Turn 0] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 0] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 0] Bot 4 (BLUE): Pos=(1,36) Holding=None
[Turn 0] Bot 5 (BLUE): Pos=(38,36) Holding=None
[Turn 0] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 0] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 1] Bot 0 (RED): Pos=(1,36) Holding=None
[Turn 1] Bot 1 (RED): Pos=(37,35) Holding=None
[Turn 1] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 1] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 1] Bot 4 (BLUE): Pos=(1,36) Holding=None
[Turn 1] Bot 5 (BLUE): Pos=(37,35) Holding=None
[Turn 1] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 1] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 2] Bot 0 (RED): Pos=(2,35) Holding=None
[Turn 2] Bot 1 (RED): Pos=(36,34) Holding=None
[Turn 2] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 2] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 2] Bot 4 (BLUE): Pos=(2,35) Holding=None
[Turn 2] Bot 5 (BLUE): Pos=(36,34) Holding=None
[Turn 2] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 2] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 3] Bot 0 (RED): Pos=(3,34) Holding=None
[Turn 3] Bot 1 (RED): Pos=(35,33) Holding=None
[Turn 3] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 3] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 3] Bot 4 (BLUE): Pos=(3,34) Holding=None
[Turn 3] Bot 5 (BLUE): Pos=(35,33) Holding=None
[Turn 3] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 3] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 4] Bot 0 (RED): Pos=(4,33) Holding=None
[Turn 4] Bot 1 (RED): Pos=(34,32) Holding=None
[Turn 4] Bot 2 (BLUE): Pos=(1,1) Holding=None
