============================================================
GAUNTLET TOURNAMENT: 4 Heroes vs 48 Challengers
Maps: 5
============================================================
Total Matches: 1920 | Workers: 12
[1/1920] Hero_BEST^3 vs Apex_Chef.py -> ERROR
[2/1920] duo_noodle_bot. vs Hero_BEST^3 -> ERROR
[3/1920] Hero_BEST^3 vs duo_noodle_bot. -> ERROR
[4/1920] Apex_Chef.py vs Hero_BEST^3 -> ERROR
[10/1920] BEST-IronChefOp vs Hero_BEST^3 -> Hero_BEST^3
[20/1920] Hero_BEST^3 vs StrategicKitche -> Hero_BEST^3
[30/1920] Hero_BEST^3 vs super_rush_bot. -> Hero_BEST^3
[40/1920] v5_high_defense vs Hero_BEST^3 -> DRAW
[50/1920] v01_greedy_scor vs Hero_BEST^3 -> DRAW
[60/1920] v8_box_lover.py vs Hero_BEST^3 -> DRAW
[64/1920] Hero_BEST^3 vs v20_hybrid_stab -> ERROR
[69/1920] v20_hybrid_stab vs Hero_BEST^3 -> ERROR
[70/1920] Hero_BEST^3 vs v18_no_recyclin -> DRAW
[80/1920] v04_high_value_ vs Hero_BEST^3 -> DRAW
[90/1920] v17_box_hoarder vs Hero_BEST^3 -> DRAW
[95/1920] Hero_UltChamp vs duo_noodle_bot. -> ERROR
[97/1920] duo_noodle_bot. vs Hero_UltChamp -> ERROR
[99/1920] Hero_UltChamp vs Apex_Chef.py -> ERROR
[100/1920] Apex_Chef.py vs Hero_UltChamp -> ERROR
[110/1920] champion_sabota vs Hero_UltChamp -> DRAW
[120/1920] aggressive_stea vs Hero_UltChamp -> DRAW
[130/1920] turtle_defense_ vs Hero_UltChamp -> Hero_UltChamp
[140/1920] Hero_UltChamp vs v10_always_sabo -> DRAW
[150/1920] v_final_efficie vs Hero_UltChamp -> DRAW
[160/1920] Hero_UltChamp vs v4_no_sabotage. -> DRAW
[163/1920] Hero_UltChamp vs v20_hybrid_stab -> ERROR
[165/1920] v20_hybrid_stab vs Hero_UltChamp -> ERROR
[170/1920] v08_desperate_o vs Hero_UltChamp -> DRAW
[180/1920] v1_greedy.py vs Hero_UltChamp -> DRAW
[190/1920] Hero_UltChamp vs v13_active_hidi -> DRAW
[191/1920] duo_noodle_bot. vs Hero_BEST^2 -> ERROR
[192/1920] Hero_BEST^2 vs duo_noodle_bot. -> ERROR
[196/1920] Apex_Chef.py vs Hero_BEST^2 -> ERROR
[197/1920] Hero_BEST^2 vs Apex_Chef.py -> ERROR
[200/1920] optimal_bot.py vs Hero_UltChamp -> Hero_UltChamp
[210/1920] StrategicKitche vs Hero_BEST^2 -> Hero_BEST^2
[220/1920] Hero_BEST^2 vs planner_bot.py -> Hero_BEST^2
[230/1920] Hero_BEST^2 vs v5_high_defense -> DRAW
[240/1920] v03_simple_orde vs Hero_BEST^2 -> DRAW
[250/1920] Hero_BEST^2 vs v_final_efficie -> DRAW
[258/1920] Hero_BEST^2 vs v20_hybrid_stab -> ERROR
[259/1920] v20_hybrid_stab vs Hero_BEST^2 -> ERROR
[260/1920] v4_no_sabotage. vs Hero_BEST^2 -> DRAW
[270/1920] v04_high_value_ vs Hero_BEST^2 -> DRAW
[280/1920] v09_no_sabotage vs Hero_BEST^2 -> DRAW
[286/1920] duo_noodle_bot. vs Hero_Sovereign -> ERROR
[288/1920] Hero_Sovereign vs duo_noodle_bot. -> ERROR
[289/1920] Apex_Chef.py vs Hero_Sovereign -> ERROR
[290/1920] TrueUltimateChe vs Hero_Sovereign -> Hero_Sovereign
[291/1920] Hero_Sovereign vs Apex_Chef.py -> ERROR
[300/1920] Hero_Sovereign vs best_solo_bot_v -> Hero_Sovereign
[310/1920] Hero_Sovereign vs solo_bot.py -> Hero_Sovereign
[320/1920] super_rush_bot. vs Hero_Sovereign -> Hero_Sovereign
[330/1920] v9_simple_bonus vs Hero_Sovereign -> Hero_Sovereign
[340/1920] Hero_Sovereign vs v02_efficient_s -> Hero_Sovereign
[350/1920] v07_aggressive_ vs Hero_Sovereign -> Hero_Sovereign
[354/1920] Hero_Sovereign vs v20_hybrid_stab -> ERROR
[355/1920] v20_hybrid_stab vs Hero_Sovereign -> ERROR
[360/1920] v18_no_recyclin vs Hero_Sovereign -> Hero_Sovereign
[370/1920] v7_no_recycling vs Hero_Sovereign -> Hero_Sovereign
[380/1920] v19_fast_replan vs Hero_Sovereign -> Hero_Sovereign
[383/1920] duo_noodle_bot. vs Hero_BEST^3 -> ERROR
[385/1920] Hero_BEST^3 vs duo_noodle_bot. -> ERROR
[387/1920] Hero_BEST^3 vs Apex_Chef.py -> ERROR
[388/1920] Apex_Chef.py vs Hero_BEST^3 -> ERROR
[390/1920] UltimateChefBot vs Hero_BEST^3 -> Hero_BEST^3
[400/1920] Hero_BEST^3 vs best_solo_bot_v -> DRAW
[408/1920] Hero_BEST^3 vs planner_bot.py -> ERROR
[410/1920] super_rush_bot. vs Hero_BEST^3 -> Hero_BEST^3
[420/1920] Hero_BEST^3 vs team_bot.py -> team_bot.py
[426/1920] planner_bot.py vs Hero_BEST^3 -> ERROR
[430/1920] Hero_BEST^3 vs v10_always_sabo -> Hero_BEST^3
[440/1920] v_final_efficie vs Hero_BEST^3 -> DRAW
[448/1920] Hero_BEST^3 vs v20_hybrid_stab -> ERROR
[450/1920] v20_hybrid_stab vs Hero_BEST^3 -> ERROR
[460/1920] Hero_BEST^3 vs v6_early_switch -> Hero_BEST^3
[470/1920] v1_greedy.py vs Hero_BEST^3 -> Hero_BEST^3
[479/1920] duo_noodle_bot. vs Hero_UltChamp -> ERROR
[480/1920] Hero_UltChamp vs duo_noodle_bot. -> ERROR
[486/1920] Apex_Chef.py vs Hero_UltChamp -> ERROR
[487/1920] Hero_UltChamp vs Apex_Chef.py -> ERROR
[490/1920] BEST-IronChefOp vs Hero_UltChamp -> Hero_UltChamp
[500/1920] Dual.py vs Hero_UltChamp -> Dual.py
[504/1920] Hero_UltChamp vs planner_bot.py -> ERROR
[505/1920] planner_bot.py vs Hero_UltChamp -> ERROR
[510/1920] Hero_UltChamp vs pair_bot.py -> pair_bot.py
[520/1920] Hero_UltChamp vs v9_simple_bonus -> Hero_UltChamp
[530/1920] Hero_UltChamp vs v01_greedy_scor -> Hero_UltChamp
[540/1920] Hero_UltChamp vs v12_lazy_defens -> Hero_UltChamp
[546/1920] Hero_UltChamp vs v20_hybrid_stab -> ERROR
[548/1920] v20_hybrid_stab vs Hero_UltChamp -> ERROR
[550/1920] Hero_UltChamp vs v18_no_recyclin -> Hero_UltChamp
[560/1920] Hero_UltChamp vs v7_no_recycling -> Hero_UltChamp
[570/1920] v17_box_hoarder vs Hero_UltChamp -> Hero_UltChamp
[575/1920] duo_noodle_bot. vs Hero_BEST^2 -> ERROR
[576/1920] Hero_BEST^2 vs duo_noodle_bot. -> ERROR
[578/1920] Hero_BEST^2 vs Apex_Chef.py -> ERROR
[580/1920] Hero_BEST^2 vs UltimateChefBot -> UltimateChefBot
[581/1920] Apex_Chef.py vs Hero_BEST^2 -> ERROR
[590/1920] champion_sabota vs Hero_BEST^2 -> DRAW
[599/1920] Hero_BEST^2 vs planner_bot.py -> ERROR
[600/1920] planner_bot_v1. vs Hero_BEST^2 -> Hero_BEST^2
[610/1920] v11_paranoid_de vs Hero_BEST^2 -> Hero_BEST^2
[620/1920] v10_always_sabo vs Hero_BEST^2 -> Hero_BEST^2
[630/1920] Hero_BEST^2 vs v_final_efficie -> DRAW
[639/1920] Hero_BEST^2 vs v20_hybrid_stab -> ERROR
